"case_type","diagram","case_number","nickname","order_of_rotational_symmetry"
"oll","olls/1.svg","1","dot","2"
"oll","olls/2.svg","2","dot","4"
"oll","olls/3.svg","3","","4"
"oll","olls/4.svg","4","","4"
"oll","olls/5.svg","5","","4"
"oll","olls/6.svg","6","","4"
"oll","olls/7.svg","7","","4"
"oll","olls/8.svg","8","checkerboard","1"
"oll","olls/9.svg","9","line","2"
"oll","olls/10.svg","10","line","2"
"oll","olls/11.svg","11","line","4"
"oll","olls/12.svg","12","line","4"
"oll","olls/13.svg","13","right angle","4"
"oll","olls/14.svg","14","right angle","4"
"oll","olls/15.svg","15","right angle","4"
"oll","olls/16.svg","16","right angle","4"
"oll","olls/17.svg","17","right angle","4"
"oll","olls/18.svg","18","right angle","4"
"oll","olls/19.svg","19","tetris","4"
"oll","olls/20.svg","20","tetris","4"
"oll","olls/21.svg","21","tetris","4"
"oll","olls/22.svg","22","tetris","4"
"oll","olls/23.svg","23","","4"
"oll","olls/24.svg","24","","4"
"oll","olls/25.svg","25","block","4"
"oll","olls/26.svg","26","block","4"
"oll","olls/27.svg","27","","4"
"oll","olls/28.svg","28","","4"
"oll","olls/29.svg","29","","4"
"oll","olls/30.svg","30","","4"
"oll","olls/31.svg","31","","4"
"oll","olls/32.svg","32","","4"
"oll","olls/33.svg","33","","4"
"oll","olls/34.svg","34","","4"
"oll","olls/35.svg","35","","4"
"oll","olls/36.svg","36","","4"
"oll","olls/37.svg","37","","4"
"oll","olls/38.svg","38","","4"
"oll","olls/39.svg","39","","4"
"oll","olls/40.svg","40","","4"
"oll","olls/41.svg","41","t","4"
"oll","olls/42.svg","42","t","4"
"oll","olls/43.svg","43","","4"
"oll","olls/44.svg","44","","4"
"oll","olls/45.svg","45","","4"
"oll","olls/46.svg","46","","4"
"oll","olls/47.svg","47","w","4"
"oll","olls/48.svg","48","w","4"
"oll","olls/49.svg","49","","2"
"oll","olls/50.svg","50","","4"
"oll","olls/51.svg","51","","4"
"oll","olls/52.svg","52","","4"
"oll","olls/53.svg","53","","4"
"oll","olls/54.svg","54","sune","4"
"oll","olls/55.svg","55","sune","4"
"oll","olls/56.svg","56","","4"
"oll","olls/57.svg","57","h","2"
"pll","plls/1.svg","58","","4"
"pll","plls/pll2.gif","59","","4"
"pll","plls/pll3.gif","60","","4"
"pll","plls/pll4.gif","61","","4"
"pll","plls/5.svg","62","","4"
"pll","plls/pll6.gif","63","","4"
"pll","plls/pll7.gif","64","","4"
"pll","plls/pll8.gif","65","","4"
"pll","plls/pll9.gif","66","","4"
"pll","plls/pll10.gif","67","","4"
"pll","plls/pll11.gif","68","","4"
"pll","plls/pll12.gif","69","","4"
"pll","plls/13.svg","70","","4"
"pll","plls/14.svg","71","","4"
"pll","plls/15.svg","72","","4"
"pll","plls/16.svg","73","","4"
"pll","plls/17.svg","74","","4"
"pll","plls/18.svg","75","","4"
"pll","plls/pll19.gif","76","","4"
"pll","plls/pll20.gif","77","","4"
"pll","plls/pll21.gif","78","","4"
