case_type,diagram,nickname,created_at,updated_at,is_involutory,order_of_rotational_symmetry,case_a_id,case_b_id
oll,olls/oll1.gif,dot,2016-03-27T00:00:00,2016-03-27T00:00:00,f,2,,
oll,olls/oll2.gif,dot,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll3.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll4.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll5.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll6.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll7.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll8.gif,checkerboard,2016-03-27T00:00:00,2016-03-27T00:00:00,f,1,,
oll,olls/oll9.gif,line,2016-03-27T00:00:00,2016-03-27T00:00:00,f,2,,
oll,olls/oll10.gif,line,2016-03-27T00:00:00,2016-03-27T00:00:00,f,2,,
oll,olls/oll11.gif,line,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll12.gif,line,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll13.gif,right angle,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll14.gif,right angle,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll15.gif,right angle,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll16.gif,right angle,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll17.gif,right angle,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll18.gif,right angle,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll19.gif,tetris,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll20.gif,tetris,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll21.gif,tetris,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll22.gif,tetris,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll23.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll24.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll25.gif,block,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll26.gif,block,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll27.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll28.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll29.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll30.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll31.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll32.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll33.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll34.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll35.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll36.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll37.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll38.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll39.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll40.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll41.gif,t,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll42.gif,t,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll43.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll44.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll45.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll46.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll47.gif,w,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll48.gif,w,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll49.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,2,,
oll,olls/oll50.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll51.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll52.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll53.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll54.gif,sune,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll55.gif,sune,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll56.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
oll,olls/oll57.gif,h,2016-03-27T00:00:00,2016-03-27T00:00:00,f,2,,
pll,plls/pll1.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
pll,plls/pll2.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
pll,plls/pll3.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
pll,plls/pll4.gif,,2016-03-27T00:00:00,2016-03-27T00:00:00,f,4,,
